i,j,flux_coexact
66,246,0.0002402437915809
66,633,-9.268745774469412e-05
66,676,-4.273615889553747e-05
66,958,-0.0002582802481293
67,237,-1.0854783697767382e-05
67,244,-1.779723107538306e-05
67,268,-1.0353947895264627e-05
67,565,-3.503609674817765e-05
67,793,0.0001181693535802
68,364,-7.636971305459124e-06
68,427,7.866517118508592e-05
68,755,-0.0002985623140172
68,814,-0.0001002363245425
68,830,0.0001436213404249
68,976,0.0001841490982551
69,486,5.366475101220342e-05
69,544,-8.627451716191943e-05
69,660,-1.6160485335115427e-05
69,665,1.2799518582169444e-05
69,837,-2.2020654304677424e-05
70,120,1.3272190666218536e-06
70,301,7.118393616845328e-05
70,668,7.762341819860587e-05
70,838,-9.199729860063466e-05
70,844,-3.1207518947642563e-05
70,1038,-2.6929755885403775e-05
71,146,4.1117946776433816e-05
71,299,9.132644588273357e-05
71,559,5.359898912079589e-05
71,629,-0.0001056245077269
71,721,-8.94942220307189e-05
71,822,9.07534797773128e-06
72,202,-1.3064374850940295e-05
72,341,-8.145751256712026e-05
72,477,1.0133398751378333e-05
72,772,-4.373747860878598e-05
72,887,8.383176198706289e-05
72,909,4.4294205288405314e-05
73,128,1.938251013412447e-05
73,553,-2.3678816441976708e-05
73,602,6.473519682950048e-06
73,741,-1.4249587646943844e-05
73,846,-1.3338313153723066e-06
74,483,9.999190516025463e-06
74,511,1.2477835781166276e-06
74,578,-1.1346411889561896e-05
74,600,-1.121157776814836e-05
74,615,8.988491792734089e-06
74,774,2.322523770834073e-06
75,94,-2.456836167280061e-06
75,200,-5.035363096408302e-06
75,288,-2.3407876731406415e-06
75,447,-1.0300896391039086e-05
75,454,2.6102331759184877e-05
75,811,-5.9684484313167864e-06
76,95,1.8981175658239392e-06
76,297,1.059755582864604e-05
76,866,1.5420198707324417e-05
76,881,-3.7917379761206487e-05
76,980,-5.1328111326286115e-06
77,201,6.814874778623446e-06
77,346,3.1766862794053183e-06
77,560,2.8998521115161083e-05
77,805,4.928193822947429e-06
77,861,-6.944099445747078e-05
77,893,2.5522718461333515e-05
78,163,-8.006614673614217e-06
78,345,-7.215418858980735e-07
78,429,4.803220648954675e-06
78,532,-1.0448939397967108e-08
78,919,4.700965701349595e-06
78,965,-7.655808513940118e-07
79,325,0.0001881691875446
79,356,7.533194671503544e-05
79,367,2.9960112482549416e-06
79,412,-0.0001291699812316
79,423,-0.0001373271642762
80,108,-2.0430305682330295e-05
80,336,1.4646083684470723e-05
80,584,3.5800094605269625e-06
80,747,1.4365067446543327e-05
80,1002,-9.04580734459682e-06
81,134,-1.832056864047802e-05
81,208,-5.818600249579205e-05
81,276,-3.945137975315935e-05
81,394,1.3105021218407185e-06
81,575,2.3917753123077622e-05
81,882,9.072969564451108e-05
82,113,-9.365306551445472e-05
82,317,-8.128778578869088e-06
82,408,0.0002387577395819
82,534,-7.836434944498822e-05
82,655,4.928999076068793e-05
83,115,-5.410676172169848e-07
83,215,6.311369146640699e-06
83,754,-6.321715438856944e-07
83,867,3.924120404685376e-06
83,947,1.4167789314670168e-05
84,154,-0.0003967274947528
84,488,9.391084493333153e-05
84,733,-0.0001938335353551
84,768,0.0002897997907073
84,865,0.0001146788230832
84,1027,9.21715713841948e-05
85,138,1.5628520990804135e-05
85,199,3.927237055251001e-05
